Species,Species taxid,16S gene count
Flavobacterium sp. CJ74,2294119,4.0
Flavobacterium sp. HYN0048,2162713,3.0
Flavobacterium sp. HYN0049,2172098,3.0
Flavobacterium sp. HYN0056,2183896,6.0
Flavobacterium sp. HYN0059,2175091,3.0
Flavobacterium sp. HYN0086,2249356,6.0
Flavobacterium sp. MEBiC07310,2201181,3.0
Flavonifractor plautii,292800,2.0
Flexistipes sinusarabici,2352,2.0
Fluviicola taffensis,191579,2.0
Formosa sp. Hel1_33_131,1336794,2.0
Formosa sp. Hel3_A1_48,1336795,2.0
Francisella halioticida,549298,3.0
Francisella hispaniensis,622488,3.0
Francisella noatunensis,657445,3.0
Francisella persica,954,2.5
Francisella philomiragia,28110,3.0
Francisella sp. 14-2155,2016519,3.0
Francisella sp. CA97-1460,1542390,3.0
Francisella sp. FDC440,2007306,3.0
Francisella sp. FSC1006,1547445,3.0
Francisella sp. MA06-7296,2016518,3.0
Francisella sp. MA067296,475375,3.0
Francisella sp. PA05-1188,2016517,3.0
Francisella sp. TX077308,573569,3.0
Francisella sp. TX077310,573570,3.0
Francisella tularensis,263,3.0
Frankia alni,1859,2.0
Frankia casuarinae,106370,2.0
Frankia inefficax,298654,3.0
Frankia sp.,1855,2.0
Frankia sp. EAN1pec,298653,3.0
Frankia symbiont of Datisca glomerata,656024,2.0
Frateuria aurantia,81475,4.0
Frischella perrara,1267021,4.0
Frondihabitans sp. PAMC 28766,1795630,2.0
Fuerstia marisgermanicae,1891926,2.0
Fusobacterium gonidiaformans,849,6.0
Fusobacterium hwasookii,1583098,5.0
Fusobacterium mortiferum,850,8.0
Fusobacterium necrophorum,859,6.0
Fusobacterium nucleatum,851,5.0
Fusobacterium periodonticum,860,5.0
Fusobacterium ulcerans,861,7.0
Fusobacterium varium,856,7.0
Gallaecimonas sp. HK-28,2291597,6.0
Gallibacterium anatis,750,6.0
Gallionella capsiferriformans,370405,3.0
Gammaproteobacteria bacterium DM2,2169539,10.0
Gammaproteobacteria bacterium ESL0073,2070539,4.0
Gardnerella vaginalis,2702,2.0
Geitlerinema sp. PCC 7407,1173025,3.0
Gemella morbillorum,29391,4.0
Gemella sp. ND 6198,2040624,4.0
Gemella sp. oral taxon 928,1785995,4.0
Geminocystis sp. NIES-3708,1615909,3.0
Geminocystis sp. NIES-3709,1617448,3.0
Gemmata obscuriglobus,114,5.0
Gemmata sp. SH-PL17,1630693,3.0
Gemmatimonas aurantiaca,173480,1.0
Gemmatimonas phototrophica,1379270,2.0
Gemmatirosa kalamazoonesis,861299,2.0
Gemmobacter sp. HYN0069,2169400,3.0
Geoalkalibacter subterraneus,483547,3.0
Geobacillus genomosp. 3,1921421,10.0
Geobacillus kaustophilus,1462,9.0
Geobacillus lituanicus,169283,10.0
Geobacillus sp. C56-T3,691437,8.0
Geobacillus sp. GHH01,1233873,10.0
Geobacillus sp. WCH70,471223,10.0
Geobacillus sp. Y4.1MC1,581103,10.0
Geobacillus sp. Y412MC52,550542,8.0
Geobacillus sp. Y412MC61,544556,8.0
Geobacillus stearothermophilus,1422,9.5
Geobacillus subterraneus,129338,9.0
Geobacillus thermocatenulatus,33938,10.0
Geobacillus thermodenitrificans,33940,10.0
Geobacillus thermoleovorans,33941,10.0
Geobacter anodireducens,1340425,2.0
Geobacter bemidjiensis,225194,4.0
Geobacter daltonii,1203471,2.0
Geobacter lovleyi,313985,2.0
Geobacter metallireducens,28232,2.0
Geobacter pickeringii,345632,3.0
Geobacter sp. M18,443143,4.0
Geobacter sp. M21,443144,4.0
Geobacter sulfurreducens,35554,2.0
Geobacter uraniireducens,351604,2.0
Geodermatophilus obscurus,1861,3.0
Geoglobus acetivorans,565033,1.0
Geoglobus ahangari,113653,1.0
Geosporobacter ferrireducens,1424294,11.0
Gibbsiella quercinecans,929813,7.0
Gilliamella apicola,1196095,4.0
Glaciecola nitratireducens,300231,4.0
Glaciecola sp. 4H-3-7+YE-5,983545,5.0
Glaesserella parasuis,738,6.0
Gloeobacter kilaueensis,1416614,1.0
Gloeobacter violaceus,33072,1.0
Gloeocapsa sp. PCC 7428,1173026,2.0
Gluconacetobacter diazotrophicus,33996,4.0
Gluconobacter albidus,318683,5.0
Gluconobacter oxydans,442,4.0
Glutamicibacter arilaitensis,256701,6.0
Gordonia bronchialis,2054,2.0
Gordonia iterans,1004901,4.0
Gordonia phthalatica,1136941,4.0
Gordonia polyisoprenivorans,84595,3.0
Gordonia sp. KTR9,337191,3.0
Gordonia sp. YC-JH1,2059875,4.0
Gordonia terrae,2055,3.0
Gordonibacter massiliensis,1841863,1.0
Gordonibacter urolithinfaciens,1335613,3.0
Gottschalkia acidurici,1556,6.0
Gramella flava,1486245,3.0
Gramella forsetii,411153,3.0
Gramella salexigens,1913577,3.0
Gramella sp. SH35,2126553,3.0
Granulibacter bethesdensis,364410,3.0
Granulicella mallensis,940614,1.0
Granulicella tundricola,940615,1.0
Granulosicoccus antarcticus,437505,3.0
Grimontia hollisae,673,9.0
Gynuella sunshinyii,1445505,4.0
Haematospirillum jordaniae,1549855,5.0
Haemophilus aegyptius,197575,6.0
Haemophilus haemolyticus,726,6.0
Haemophilus influenzae,727,6.0
Haemophilus parainfluenzae,729,6.0
Haemophilus pittmaniae,249188,6.0
Haemophilus sp. oral taxon 036,712310,6.0
Hafnia alvei,569,8.0
Hafnia sp. CBA7124,1848580,8.0
Hahella chejuensis,158327,5.0
Halalkalicoccus jeotgali,413810,1.0
Halanaeroarchaeum sulfurireducens,1604004,1.0
Halanaerobium hydrogeniformans,656519,4.0
Halanaerobium praevalens,2331,4.0
Haliangium ochraceum,80816,2.0
Halioglobus japonicus,930805,2.0
Halioglobus pacificus,930806,2.0
Haliscomenobacter hydrossis,2350,2.0
Haloarcobacter bivalviorum,663364,4.0
Haloarcula californiae,244363,4.0
Haloarcula hispanica,51589,3.0
Haloarcula marismortui,2238,2.5
Haloarcula sp. CBA1115,1592728,3.0
Haloarcula taiwanensis,1932004,2.0
Haloarculaceae archaeon HArcel1,1679096,1.0
Halobacillus halophilus,1570,7.0
Halobacillus mangrovi,402384,7.0
Halobacteriovorax marinus,97084,2.0
Halobacterium hubeiense,1407499,1.0
Halobacterium salinarum,2242,1.0
Halobacterium sp. DL1,751944,1.0
Halobacterium sp. GRB,35744,1.0
Halobacteroides halobius,42422,5.0
Halobiforma lacisalsi,229731,3.0
Halococcus morrhuae,2250,2.0
Halocynthiibacter arcticus,1579316,3.0
Halodesulfurarchaeum formicicum,1873524,1.0
Haloferax gibbonsii,35746,3.0
Haloferax mediterranei,2252,2.0
Haloferax volcanii,2246,2.0
Halogeometricum borinquense,60847,2.0
Halohasta litchfieldiae,1073996,2.0
Halomicrobium mukohataei,57705,3.0
Halomicronema hongdechloris,1209493,2.0
Halomonas aestuarii,1897729,4.0
Halomonas beimenensis,475662,5.0
Halomonas campaniensis,213554,6.0
Halomonas chromatireducens,507626,1.0
Halomonas elongata,2746,4.0
Halomonas huangheensis,1178482,4.0
Halomonas hydrothermalis,115561,6.0
Halomonas sp. 'Soap Lake #6',1949203,6.0
Halomonas sp. 'Soap Lake #7',1962264,6.0
Halomonas sp. 1513,1883416,4.0
Halomonas sp. GFAJ-1,1118153,6.0
Halomonas sp. GT,1971364,6.0
Halomonas sp. KO116,1504981,6.0
Halomonas sp. R57-5,1610576,6.0
Halomonas sp. SF2003,2136172,7.0
Halopenitus persicus,1048396,2.0
Halopiger xanaduensis,387343,3.0
Haloplanus sp. CBA1112,1547898,2.0
Haloplanus sp. CBA1113,1547899,2.0
Haloquadratum walsbyi,293091,2.0
Halorhabdus tiamatea,430914,1.0
Halorhabdus utahensis,146826,1.0
Halorhodospira halochloris,1052,2.0
Halorhodospira halophila,1053,2.0
Halorientalis sp. IM1011,1932360,2.0
Halorubrum lacusprofundi,2247,3.0
Halorubrum trapanicum,29284,2.0
Halosimplex carlsbadense,171164,2.0
Halostagnicola larsenii,353800,2.0
Halotalea alkalilenta,376489,6.0
Haloterrigena daqingensis,588898,2.0
Haloterrigena turkmenica,62320,3.0
Halothece sp. PCC 7418,65093,3.0
Halothermothrix orenii,31909,4.0
Halothiobacillus neapolitanus,927,2.0
Halothiobacillus sp. LS2,1860122,2.0
Hartmannibacter diazotrophicus,1482074,2.0
Helicobacter acinonychis,212,2.0
Helicobacter apodemus,135569,3.0
Helicobacter bilis,37372,2.0
Helicobacter cetorum,138563,2.0
Helicobacter cinaedi,213,2.0
Helicobacter felis,214,2.0
Helicobacter hepaticus,32025,1.0
Helicobacter himalayensis,1591088,2.0
Helicobacter mustelae,217,2.0
Helicobacter pylori,210,2.0
Helicobacter sp. MIT 01-6242,222136,2.0
Helicobacter typhlonius,76936,2.0
Heliobacterium modesticaldum,35701,10.0
Herbaspirillum frisingense,92645,3.0
Herbaspirillum hiltneri,341045,2.0
Herbaspirillum rubrisubalbicans,80842,3.0
Herbaspirillum seropedicae,964,3.0
Herbaspirillum sp. meg3,2025949,3.0
Herbinix luporum,1679721,4.0
Herminiimonas arsenicoxydans,204773,2.0
Herminiimonas arsenitoxidans,1809410,2.0
Hippea maritima,84405,2.0
Hirschia baltica,2724,2.0
Histophilus somni,731,5.0
Hoeflea sp. IMCC20628,1620421,1.0
Hoyosella subflava,639313,3.0
Humibacter sp. BT305,2282656,2.0
Hungateiclostridiaceae bacterium KB18,1834198,2.0
Hungateiclostridium clariflavum,288965,6.0
Hungateiclostridium saccincola,1677857,3.0
Hungateiclostridium thermocellum,1515,4.0
Hydrogenobacter thermophilus,940,1.0
Hydrogenobaculum sp. 3684,547143,2.0
Hydrogenobaculum sp. HO,547144,2.0
Hydrogenobaculum sp. SHO,547145,2.0
Hydrogenobaculum sp. SN,547146,2.0
Hydrogenobaculum sp. Y04AAS1,380749,2.0
Hydrogenophaga crassostreae,1763535,2.0
Hydrogenophaga sp. PBC,795665,1.0
Hydrogenophaga sp. RAC07,1842537,2.0
Hydrogenovibrio crunogenus,39765,3.0
Hydromonas sp. F02,2268024,4.0
Hymenobacter nivis,1850093,3.0
Hymenobacter sedentarius,1411621,3.0
Hymenobacter sp. APR13,1356852,4.0
Hymenobacter sp. DG25A,1385663,2.0
Hymenobacter sp. DG25B,1385664,2.0
Hymenobacter sp. PAMC 26554,1484116,3.0
Hymenobacter sp. PAMC 26628,1484118,3.0
Hymenobacter swuensis,1446467,3.0
Hyperthermus butylicus,54248,1.0
Hyphomicrobium denitrificans,53399,1.0
Hyphomicrobium nitrativorans,1427356,1.0
Hyphomicrobium sp. MC1,717785,1.0
Hyphomonas neptunium,81032,1.0
Hyphomonas sp. Mor2,1906738,1.0
Ichthyobacterium seriolicida,242600,1.0
Idiomarina loihiensis,135577,4.0
Idiomarina piscisalsi,1096243,4.0
Idiomarina sp. OT37-5b,2100422,4.0
Idiomarina sp. X4,2055892,4.0
Ignavibacterium album,591197,1.0
Ignicoccus hospitalis,160233,1.0
Ignicoccus islandicus,54259,1.0
Ilyobacter polytropus,167642,8.0
Immundisolibacter cernigliae,1810504,1.0
Intestinimonas butyriciproducens,1297617,2.0
Intrasporangium calvum,53358,2.0
Isoptericola dokdonensis,372663,4.0
Isoptericola variabilis,139208,3.0
Isosphaera pallida,128,3.0
Janibacter indicus,857417,2.0
Jannaschia sp. CCS1,290400,1.0
Janthinobacterium agaricidamnosum,55508,1.0
Janthinobacterium sp. 1_2014MBL_MicDiv,1644131,8.0
Janthinobacterium sp. B9-8,1236179,10.0
Janthinobacterium sp. LM6,1938606,8.0
Janthinobacterium sp. Marseille,375286,2.0
Janthinobacterium svalbardensis,368607,8.0
Jeongeupia sp. USM3,1906741,5.0
Jeotgalibaca dankookensis,708126,6.0
Jeotgalibaca sp. PTS2502,1903686,6.0
Jeotgalibacillus malaysiensis,1508404,9.0
Jonesia denitrificans,43674,5.0
Kangiella geojedonensis,914150,2.0
Kangiella koreensis,261964,2.0
Kangiella profundi,1561924,2.0
Kangiella sediminilitoris,1144748,2.0
Ketobacter alkanivorans,1917421,3.0
Ketogulonicigenium robustum,92947,6.0
Ketogulonicigenium vulgare,92945,5.0
Kibdelosporangium phytohabitans,860235,3.0
Kineococcus radiotolerans,131568,4.0
Kingella kingae,504,4.0
Kiritimatiella glycovorans,1307763,1.0
Kitasatospora albolonga,68173,6.0
Kitasatospora aureofaciens,1894,9.0
Kitasatospora setae,2066,9.0
Kitasatospora sp. MMS16-BH015,2018025,11.0
Klebsiella aerogenes,548,8.0
Klebsiella michiganensis,1134687,8.0
Klebsiella oxytoca,571,8.0
Klebsiella pneumoniae,573,8.0
Klebsiella quasipneumoniae,1463165,8.0
Klebsiella quasivariicola,2026240,8.0
Klebsiella sp. LTGPAF-6F,1905288,8.0
Klebsiella sp. M5al,1934254,8.0
Klebsiella variicola,244366,8.0
Kluyvera intermedia,61648,7.0
Kocuria flava,446860,3.0
Kocuria palustris,71999,3.0
Kocuria rhizophila,72000,3.0
Kocuria sp. BT304,1702043,3.0
Komagataeibacter europaeus,33995,4.5
Komagataeibacter hansenii,436,2.0
Komagataeibacter medellinensis,1177712,5.0
Komagataeibacter nataicola,265960,5.0
Komagataeibacter saccharivorans,265959,5.0
Komagataeibacter xylinus,28448,4.5
Kordia sp. SMS9,2282170,3.0
Kosakonia cowanii,208223,7.0
Kosakonia oryzae,497725,5.0
Kosakonia radicincitans,283686,7.0
Kosakonia sacchari,1158459,7.0
Kosmotoga olearia,651457,2.0
Kosmotoga pacifica,1330330,2.0
Kozakia baliensis,153496,5.0
Kribbella flavida,182640,2.0
Kurthia sp. 11kri321,1750719,9.0
Kushneria konosiri,698828,4.0
Kushneria marisflavi,157779,4.0
Kutzneria albida,43357,3.0
Kyrpidia spormannii,2055160,5.0
Kyrpidia tusciae,33943,5.0
Kytococcus sedentarius,1276,2.0
Labilithrix luteola,1391654,4.0
Labrenzia aggregata,187304,3.0
Labrenzia sp. CP4,1674922,3.0
Labrenzia sp. VG12,2021862,3.0
Laceyella sp. FBKL4.010,2071623,12.0
Lachnoclostridium phocaeense,1871021,4.0
Lachnoclostridium phytofermentans,66219,8.0
Lachnoclostridium sp. YL32,1834196,5.0
Lachnospiraceae bacterium oral taxon 500,712991,3.0
Lacimicrobium alkaliphilum,1526571,4.0
Lacinutrix sp. 5H-3-7-4,983544,2.0
Lacinutrix sp. Bg11-31,2057808,2.0
Lacinutrix venerupis,1486034,2.0
Lactobacillales bacterium,1993866,3.0
Lactobacillus acetotolerans,1600,4.0
Lactobacillus acidipiscis,89059,6.0
Lactobacillus acidophilus,1579,4.0
Lactobacillus agilis,1601,8.0
Lactobacillus alimentarius,1602,4.0
Lactobacillus allii,1847728,4.0
Lactobacillus amylolyticus,83683,6.0
Lactobacillus amylophilus,1603,4.0
Lactobacillus amylovorus,1604,4.0
Lactobacillus apis,303541,4.0
Lactobacillus backii,375175,5.0
Lactobacillus bombi,1303590,4.0
Lactobacillus brevis,1580,5.0
Lactobacillus buchneri,1581,5.0
Lactobacillus casei,1582,5.0
Lactobacillus coryniformis,1610,5.0
Lactobacillus crustorum,392416,4.0
Lactobacillus curieae,1138822,5.0
Lactobacillus curvatus,28038,6.0
Lactobacillus delbrueckii,1584,9.0
Lactobacillus farciminis,1612,4.0
Lactobacillus fermentum,1613,5.0
Lactobacillus gallinarum,52242,4.0
Lactobacillus gasseri,1596,6.0
Lactobacillus ginsenosidimutans,1007676,3.0
Lactobacillus heilongjiangensis,1074467,4.0
Lactobacillus helsingborgensis,1218494,4.0
Lactobacillus helveticus,1587,4.0
Lactobacillus hokkaidonensis,1193095,4.0
Lactobacillus jensenii,109790,4.0
Lactobacillus johnsonii,33959,7.0
Lactobacillus kefiranofaciens,267818,4.0
Lactobacillus koreensis,637971,6.0
Lactobacillus kullabergensis,1218493,4.0
Lactobacillus kunkeei,148814,5.0
Lactobacillus lindneri,53444,7.0
Lactobacillus mucosae,97478,8.0
Lactobacillus murinus,1622,6.0
Lactobacillus oligofermentans,293371,5.0
Lactobacillus panis,47493,5.0
Lactobacillus parabuchneri,152331,5.0
Lactobacillus paracasei,1597,5.0
Lactobacillus paracollinoides,240427,6.0
Lactobacillus paraplantarum,60520,1.0
Lactobacillus pentosus,1589,5.0
Lactobacillus plantarum,1590,5.0
Lactobacillus reuteri,1598,6.0
Lactobacillus rhamnosus,47715,5.0
Lactobacillus ruminis,1623,6.0
Lactobacillus sakei,1599,7.0
Lactobacillus salivarius,1624,7.0
Lactobacillus sanfranciscensis,1625,7.0
Lactobacillus sp. CBA3605,2099788,5.0
Lactobacillus sp. CBA3606,2099789,5.0
Lactobacillus sp. D1501,2108362,5.0
Lactobacillus sp. wkB8,1545702,4.0
Lactobacillus zymae,267363,5.0
Lactococcus garvieae,1363,5.0
Lactococcus lactis,1358,6.0
Lactococcus piscium,1364,4.0
Lactococcus raffinolactis,1366,4.0
Lacunisphaera limnophila,1838286,1.0
Laribacter hongkongensis,168471,7.0
Lawsonella clevelandensis,1528099,2.0
Lawsonia intracellularis,29546,2.0
Leadbetterella byssophila,316068,3.0
Leclercia adecarboxylata,83655,8.0
Leclercia sp. LSNIH1,1920114,8.0
Leclercia sp. LSNIH3,1920116,8.0
Legionella clemsonensis,1867846,4.0
Legionella endosymbiont of Polyplax serrata,2005262,1.0
Legionella fallonii,96230,4.0
Legionella hackeliae,449,4.0
Legionella lansingensis,45067,4.0
Legionella longbeachae,450,4.0
Legionella oakridgensis,29423,3.0
Legionella pneumophila,446,3.0
Legionella sainthelensi,28087,4.0
Legionella spiritensis,452,3.0
Legionella waltersii,66969,3.0
Leifsonia xyli,1575,1.0
Leisingera methylohalidivorans,133924,5.0
Lelliottia amnigena,61646,7.0
Lelliottia jeotgali,1907578,8.0
Lelliottia nimipressuralis,69220,8.0
Lelliottia sp. WB101,2153385,8.0
Leminorella richardii,158841,7.0
Lentibacillus amyloliquefaciens,1472767,6.0
Lentzea guizhouensis,1586287,5.0
Leptolyngbya boryana,1184,3.0
Leptolyngbya sp. NIES-3755,1752064,3.0
Leptolyngbya sp. O-77,1080068,2.0
Leptolyngbya sp. PCC 7376,111781,2.0
Leptonema illini,183,2.0
Leptospira alstonii,28452,2.0
Leptospira biflexa,172,2.0
Leptospira borgpetersenii,174,2.0
Leptospira interrogans,173,2.0
Leptospira mayottensis,1137606,2.0
Leptospira santarosai,28183,2.0
Leptospira sp. Akiyami C,94045,2.0
Leptospirillum ferriphilum,178606,2.0
Leptospirillum ferrooxidans,180,3.0
Leptospirillum sp. Group II 'CF-1',1660083,2.0
Leptothrix cholodnii,34029,2.0
Leptotrichia buccalis,40542,5.0
Leptotrichia sp. oral taxon 212,712357,4.0
Leptotrichia sp. oral taxon 498,712368,5.0
Leptotrichia sp. oral taxon 847,1785996,5.0
Leuconostoc carnosum,1252,4.0
Leuconostoc citreum,33964,4.0
Leuconostoc garlicum,255248,4.0
Leuconostoc gelidum,1244,4.0
Leuconostoc kimchii,136609,4.0
Leuconostoc lactis,1246,4.0
Leuconostoc mesenteroides,1245,4.0
Leuconostoc sp. C2,979982,4.0
Leuconostoc suionicum,1511761,3.5
Liberibacter crescens,1273132,3.0
Limnobaculum parvum,2172103,7.0
Limnochorda pilosa,1555112,2.0
Limnohabitans sp. 103DPR2,1678129,2.0
Limnohabitans sp. 63ED37-2,1678128,3.0
Listeria innocua,1642,6.0
Listeria ivanovii,1638,6.0
Listeria monocytogenes,1639,6.0
Listeria seeligeri,1640,6.0
Listeria weihenstephanensis,1006155,6.0
Listeria welshimeri,1643,6.0
Lonsdalea britannica,1082704,7.0
Luteibacter rhizovicinus,242606,2.0
Luteimonas sp. 100111,2006110,2.0
Luteimonas sp. 83-4,2172536,1.0
Luteipulveratus mongoliensis,571913,2.0
Luteitalea pratensis,1855912,1.0
Lutibacter profundi,1622118,2.0
Lutibacter sp. LPB0138,1850246,2.0
Lysinibacillus fusiformis,28031,13.0
Lysinibacillus sp. 2017,2169540,14.0
Lysinibacillus sp. B2A1,2081964,2.0
Lysinibacillus sp. YS11,2072025,11.0
Lysinibacillus sphaericus,1421,12.0
Lysinibacillus varians,1145276,10.0
Lysobacter antibioticus,84531,2.5
Lysobacter capsici,435897,2.0
Lysobacter enzymogenes,69,2.0
Lysobacter gummosus,262324,2.0
Lysobacter maris,1605891,2.0
Lysobacter sp. TY2-98,2290922,2.0
Macrococcus canis,1855823,5.0
Macrococcus caseolyticus,69966,4.5
Macrococcus sp. IME1552,1898474,5.0
Mageeibacillus indolicus,884684,2.0
Magnetococcus marinus,1124597,3.0
Magnetospira sp. QH-2,1288970,2.0
Magnetospirillum gryphiswaldense,55518,2.0
Magnetospirillum magneticum,84159,2.0
Magnetospirillum sp. ME-1,1639348,2.0
Magnetospirillum sp. XM-1,1663591,2.0
Mahella australiensis,252966,3.0
Maize bushy stunt phytoplasma,202462,2.0
Malacobacter halophilus,197482,6.0
Malacobacter mytili,603050,6.0
Mannheimia haemolytica,75985,6.0
Mannheimia sp. USDA-ARS-USMARC-1261,1432056,6.0
Mannheimia varigena,85404,6.0
Maribacter cobaltidurans,1178778,2.0
Maribacter sp. 1_2014MBL_MicDiv,1644130,2.0
Maribacter sp. HTCC2170,313603,2.0
Maribacter sp. T28,1836467,3.0
Maricaulis maris,74318,2.0
Marichromatium purpuratum,37487,3.0
Marinifilaceae bacterium SPP2,1717717,6.0
Mariniflexile sp. TRM1-10,2027857,2.0
Marinilactibacillus sp. 15R,1911586,4.0
Marinithermus hydrothermalis,186192,3.0
Marinitoga piezophila,149715,3.0
Marinitoga sp. 1137,1545835,3.0
Marinobacter hydrocarbonoclasticus,2743,3.0
Marinobacter psychrophilus,330734,3.0
Marinobacter salarius,1420917,2.0
Marinobacter salinus,1874317,3.0
Marinobacter similis,1420916,1.0
Marinobacter sp. Arc7-DN-1,2304594,3.0
Marinobacter sp. BSs20148,490759,3.0
Marinobacter sp. CP1,1671721,3.0
Marinobacter sp. LQ44,1749259,3.0
Marinobacterium aestuarii,1821621,6.0
Marinomonas mediterranea,119864,7.0
Marinomonas posidonica,936476,8.0
Marinomonas sp. MWYL1,400668,8.0
Marinovum algicola,42444,2.0
Mariprofundus aestuarium,1921086,2.0
Mariprofundus ferrinatatus,1921087,1.0
Maritalea myrionectae,454601,2.0
Maritimibacter alkaliphilus,404236,1.0
Marivirga tractuosa,1006,2.0
Marivivens sp. JLT3646,1920883,3.0
Martelella endophytica,1486262,3.0
Martelella mediterranea,293089,2.0
Martelella sp. AD-3,686597,3.0
Massilia armeniaca,2072590,7.0
Massilia putida,1141883,7.0
Massilia sp. NR 4-1,1678028,7.0
Massilia sp. WG5,1707785,8.0
Massilia sp. YMA4,1593482,7.0
Massilia timonae,47229,7.0
Massilia violaceinigra,2045208,6.0
Megamonas hypermegale,158847,5.0
Megasphaera elsdenii,907,7.0
Megasphaera hexanoica,1675036,6.0
Megasphaera stantonii,2144175,6.0
Meiothermus ruber,277,2.0
Meiothermus silvanus,52022,2.0
Melaminivora sp. SC2-7,2116657,3.0
Melaminivora sp. SC2-9,2109913,3.0
Melioribacter roseus,1134405,1.0
Melissococcus plutonius,33970,4.0
Melittangium boletus,83453,4.0
Mesoplasma chauliocola,216427,2.0
Mesoplasma coleopterae,324078,2.0
Mesoplasma entomophilum,2149,2.0
Mesoplasma florum,2151,2.0
Mesoplasma lactucae,138853,3.0
Mesoplasma syrphidae,225999,2.0
Mesoplasma tabanidae,219745,2.0
Mesorhizobium amorphae,71433,2.0
Mesorhizobium australicum,536018,2.0
Mesorhizobium ciceri,39645,2.0
Mesorhizobium japonicum,2066070,2.0
Mesorhizobium loti,381,2.0
Mesorhizobium oceanicum,1670800,2.0
Mesorhizobium opportunistum,593909,2.0
Mesorhizobium sp. WSM1497,278153,2.0
Mesotoga prima,1184387,2.0
Metallosphaera cuprina,1006005,1.0
Metallosphaera hakonensis,79601,1.0
Metallosphaera sedula,43687,1.0
Methanobacterium congolense,118062,3.0
Methanobacterium formicicum,2162,2.0
Methanobacterium lacus,877455,2.0
Methanobacterium paludis,868131,3.0
Methanobacterium sp. MB1,1379702,2.0
Methanobacterium sp. MZ-A1,1911685,2.0
Methanobacterium subterraneum,59277,2.0
Methanobrevibacter millerae,230361,2.0
Methanobrevibacter olleyae,294671,2.0
Methanobrevibacter ruminantium,83816,2.0
Methanobrevibacter smithii,2173,2.0
Methanobrevibacter sp. AbM4,224719,3.0
Methanobrevibacter sp. YE315,1609968,2.0
Methanocaldococcus bathoardescens,1301915,2.0
Methanocaldococcus fervens,83171,2.0
Methanocaldococcus infernus,67760,2.0
Methanocaldococcus jannaschii,2190,2.0
Methanocaldococcus sp. FS406-22,644281,2.0
Methanocaldococcus vulcanius,73913,2.0
Methanocella arvoryzae,1175445,3.0
Methanocella conradii,1175444,2.0
Methanococcoides burtonii,29291,3.0
Methanococcoides methylutens,2226,3.0
Methanococcus aeolicus,42879,2.0
Methanococcus maripaludis,39152,3.0
Methanococcus vannielii,2187,4.0
Methanococcus voltae,2188,2.0
Methanocorpusculum labreanum,83984,3.0
Methanoculleus bourgensis,83986,1.0
Methanoculleus marisnigri,2198,1.0
Methanoculleus sp. MAB1,86622,1.0
Methanohalobium evestigatum,2322,2.0
Methanohalophilus halophilus,2177,1.0
Methanohalophilus mahii,2176,3.0
Methanolacinia petrolearia,54120,2.0
Methanolobus psychrophilus,420950,3.0
Methanomethylovorans hollandica,101192,2.0
Methanoregula boonei,358766,1.0
Methanoregula formicica,882104,1.0
Methanosaeta harundinacea,301375,1.0
Methanosalsum zhilinae,39669,3.0
Methanosarcina acetivorans,2214,3.0
Methanosarcina barkeri,2208,3.0
Methanosarcina horonobensis,418008,3.0
Methanosarcina lacustris,170861,3.0
Methanosarcina mazei,2209,3.0
Methanosarcina siciliae,38027,3.0
Methanosarcina sp. Kolksee,1434099,3.0
Methanosarcina sp. MTP4,1434100,3.0
Methanosarcina sp. WH1,1434102,3.0
Methanosarcina sp. WWM596,1434103,3.0
Methanosarcina thermophila,2210,3.0
Methanosarcina vacuolata,2215,3.0
Methanosphaera sp. BMS,1789762,2.0
Methanosphaera stadtmanae,2317,4.0
Methanosphaerula palustris,475088,3.0
Methanospirillum hungatei,2203,4.0
Methanothermobacter marburgensis,145263,2.0
Methanothermobacter sp. CaT2,866790,2.0
Methanothermobacter thermautotrophicus,145262,2.0
Methanothermobacter wolfeii,145261,2.0
Methanothermococcus okinawensis,155863,2.0
Methanothermus fervidus,2180,2.0
Methanothrix soehngenii,2223,2.0
Methanotorris igneus,2189,2.0
Methylacidiphilum fumariolicum,591154,1.0
Methylacidiphilum infernorum,511746,1.0
Methylibium petroleiphilum,105560,1.0
Methylobacillus flagellatus,405,2.0
Methylobacterium aquaticum,270351,11.0
Methylobacterium nodulans,114616,7.0
Methylobacterium oryzae,334852,4.0
Methylobacterium phyllosphaerae,418223,4.0
Methylobacterium radiotolerans,31998,6.0
Methylobacterium sp. 17SD2-17,2202825,4.0
Methylobacterium sp. 17Sr1-1,2202826,11.0
Methylobacterium sp. 17Sr1-28,2202827,9.0
Methylobacterium sp. 17Sr1-43,2202828,6.0
Methylobacterium sp. 4-46,426117,6.0
Methylobacterium sp. AMS5,925818,5.0
Methylobacterium sp. C1,1479019,4.0
Methylobacterium sp. DM1,2067957,5.0
Methylobacterium sp. XJLM,1826873,4.0
Methyloceanibacter caenitepidi,1384459,1.0
Methyloceanibacter sp. wino2,2170729,1.0
Methylocella silvestris,199596,2.0
Methylococcus capsulatus,414,2.0
Methylocystis bryophila,655015,2.0
Methylocystis sp. SC2,187303,1.0
Methylomicrobium alcaliphilum,271065,3.0
Methylomonas denitrificans,1538553,3.0
Methylomonas koyamae,702114,3.0
Methylomonas methanica,421,3.0
Methylomonas sp. DH-1,1727196,3.0
Methylophaga frappieri,754477,3.0
Methylophaga nitratireducenticrescens,754476,3.0
